run_accession	sample_accession	experiment_accession	study_accession	tax_id	scientific_name	fastq_ftp	sra_ftp	bam_ftp
SRR11321049	SAMN14518472	SRX7924973	PRJNA510730	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/049/SRR11321049/SRR11321049_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/049/SRR11321049/SRR11321049_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR113/049/SRR11321049	
SRR11321051	SAMN14518470	SRX7924971	PRJNA510730	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/051/SRR11321051/SRR11321051_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/051/SRR11321051/SRR11321051_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR113/051/SRR11321051	
SRR11321054	SAMN14518512	SRX7924968	PRJNA510730	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/054/SRR11321054/SRR11321054_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/054/SRR11321054/SRR11321054_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR113/054/SRR11321054	
SRR11321059	SAMN14518507	SRX7924963	PRJNA510730	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/059/SRR11321059/SRR11321059_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/059/SRR11321059/SRR11321059_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR113/059/SRR11321059	
SRR11321065	SAMN14518502	SRX7924957	PRJNA510730	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/065/SRR11321065/SRR11321065_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/065/SRR11321065/SRR11321065_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR113/065/SRR11321065	
SRR11321076	SAMN14518492	SRX7924946	PRJNA510730	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/076/SRR11321076/SRR11321076_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/076/SRR11321076/SRR11321076_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR113/076/SRR11321076	
SRR11321077	SAMN14518491	SRX7924945	PRJNA510730	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/077/SRR11321077/SRR11321077_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/077/SRR11321077/SRR11321077_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR113/077/SRR11321077	
SRR11321078	SAMN14518490	SRX7924944	PRJNA510730	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/078/SRR11321078/SRR11321078_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/078/SRR11321078/SRR11321078_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR113/078/SRR11321078	
SRR11321082	SAMN14518486	SRX7924940	PRJNA510730	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/082/SRR11321082/SRR11321082_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/082/SRR11321082/SRR11321082_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR113/082/SRR11321082	
SRR11321091	SAMN14518478	SRX7924931	PRJNA510730	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/091/SRR11321091/SRR11321091_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/091/SRR11321091/SRR11321091_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR113/091/SRR11321091	
SRR11321092	SAMN14518477	SRX7924930	PRJNA510730	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/092/SRR11321092/SRR11321092_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/092/SRR11321092/SRR11321092_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR113/092/SRR11321092	
SRR11321093	SAMN14518476	SRX7924929	PRJNA510730	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/093/SRR11321093/SRR11321093_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/093/SRR11321093/SRR11321093_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR113/093/SRR11321093	
SRR11321097	SAMN14518513	SRX7924925	PRJNA510730	256318	metagenome	ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/097/SRR11321097/SRR11321097_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR113/097/SRR11321097/SRR11321097_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/srr/SRR113/097/SRR11321097	
